Maximal independent set:  [  1  2  3  4]
Maximal independent set:  [  5  6  7  8  9]
Maximal independent set:  [ 10 11 12 13 14]
  independence number = 5
MIS calculation took 408us.
clique:  [  1  5 10 15]
clique:  [  1  5 10 16]
clique:  [  1  5 10 17]
clique:  [  1  5 10 18]
clique:  [  1  5 10 19]
clique:  [  1  5 11 15]
clique:  [  1  5 11 16]
clique:  [  1  5 11 17]
clique:  [  1  5 11 18]
clique:  [  1  5 11 19]
clique:  [  1  5 12 15]
clique:  [  1  5 12 16]
clique:  [  1  5 12 17]
clique:  [  1  5 12 18]
clique:  [  1  5 12 19]
clique:  [  1  5 13 15]
clique:  [  1  5 13 16]
clique:  [  1  5 13 17]
clique:  [  1  5 13 18]
clique:  [  1  5 13 19]
clique:  [  1  5 14 15]
clique:  [  1  5 14 16]
clique:  [  1  5 14 17]
clique:  [  1  5 14 18]
clique:  [  1  5 14 19]
clique:  [  1  6 10 15]
clique:  [  1  6 10 16]
clique:  [  1  6 10 17]
clique:  [  1  6 10 18]
clique:  [  1  6 10 19]
clique:  [  1  6 11 15]
clique:  [  1  6 11 16]
clique:  [  1  6 11 17]
clique:  [  1  6 11 18]
clique:  [  1  6 11 19]
clique:  [  1  6 12 15]
clique:  [  1  6 12 16]
clique:  [  1  6 12 17]
clique:  [  1  6 12 18]
clique:  [  1  6 12 19]
clique:  [  1  6 13 15]
clique:  [  1  6 13 16]
clique:  [  1  6 13 17]
clique:  [  1  6 13 18]
clique:  [  1  6 13 19]
clique:  [  1  6 14 15]
clique:  [  1  6 14 16]
clique:  [  1  6 14 17]
clique:  [  1  6 14 18]
clique:  [  1  6 14 19]
clique:  [  1  7 10 15]
clique:  [  1  7 10 16]
clique:  [  1  7 10 17]
clique:  [  1  7 10 18]
clique:  [  1  7 10 19]
clique:  [  1  7 11 15]
clique:  [  1  7 11 16]
clique:  [  1  7 11 17]
clique:  [  1  7 11 18]
clique:  [  1  7 11 19]
clique:  [  1  7 12 15]
clique:  [  1  7 12 16]
clique:  [  1  7 12 17]
clique:  [  1  7 12 18]
clique:  [  1  7 12 19]
clique:  [  1  7 13 15]
clique:  [  1  7 13 16]
clique:  [  1  7 13 17]
clique:  [  1  7 13 18]
clique:  [  1  7 13 19]
clique:  [  1  7 14 15]
clique:  [  1  7 14 16]
clique:  [  1  7 14 17]
clique:  [  1  7 14 18]
clique:  [  1  7 14 19]
clique:  [  1  8 10 15]
clique:  [  1  8 10 16]
clique:  [  1  8 10 17]
clique:  [  1  8 10 18]
clique:  [  1  8 10 19]
clique:  [  1  8 11 15]
